iter	MultiClass
0	1.234308822
1	1.005889411
2	0.8427710898
3	0.718415487
4	0.6196253793
5	0.5392345256
6	0.4722958603
7	0.4158911482
8	0.3677784322
9	0.3264039789
10	0.2905520675
11	0.2592627586
12	0.231960685
13	0.207893729
14	0.1866143477
15	0.1678369789
16	0.1511439683
17	0.1363117684
18	0.1231373627
19	0.1113573318
20	0.1007443592
21	0.0913650882
22	0.08285215541
23	0.07518675353
24	0.06836547485
25	0.06223846146
26	0.05671239842
27	0.05178533941
28	0.04732722251
29	0.04328847773
30	0.03966490595
31	0.03640083764
32	0.03342618842
33	0.03070990673
34	0.02832724885
35	0.0261346609
36	0.02415184168
37	0.02237586301
38	0.02077534596
39	0.01933348943
40	0.01800208056
41	0.01682657718
42	0.01574028994
43	0.01474895868
44	0.01384870752
45	0.01301679525
46	0.01227586705
47	0.0116324619
48	0.01103084423
49	0.01047580441
50	0.009977413367
51	0.009525495498
52	0.009106610408
53	0.008721841416
54	0.008386044676
55	0.008085619232
56	0.007833578185
57	0.007587930938
58	0.007364224701
59	0.007162006865
60	0.006978326203
61	0.006817033323
62	0.00666162872
63	0.006507999238
64	0.006380134177
65	0.00624069077
66	0.006131783576
67	0.006023509084
68	0.005943342901
69	0.005878558435
70	0.005792480155
71	0.005762519358
72	0.005694153817
73	0.005629199963
74	0.005570788633
75	0.005509537419
76	0.005458838543
77	0.005430510451
78	0.005382345777
79	0.005346967192
80	0.005334999818
81	0.005299010561
82	0.00527357862
83	0.00524718314
84	0.005221520365
85	0.005197349779
86	0.005180242584
87	0.005172575576
88	0.005153346041
89	0.005133140462
90	0.005118546985
91	0.005111981155
92	0.005105434911
93	0.005100255212
94	0.005084565474
95	0.005078930984
96	0.005063630241
97	0.005059367445
98	0.005055260671
99	0.005049911494
